Eps_a,N,Prerez,Jeklo,Preizkusanje,Razred
0.0050,1152.0000,V,EMW_CPHDT780C,LCF,1
0.0069,570.0000,V,EMW_CPHDT780C,LCF,1
0.0099,193.0000,V,EMW_CPHDT780C,LCF,1
0.0120,230.0000,V,EMW_CPHDT780C,LCF,1
0.0150,131.0000,V,EMW_CPHDT780C,LCF,1
0.0200,105.0000,V,EMW_CPHDT780C,LCF,1
0.0100,10.0000,V,EMW_CPHDT780C,LCF,1
0.002154195011338,12811.0000,V,EMW_CPHDT780C,HCF,1
0.002154195011338,12155.0000,V,EMW_CPHDT780C,HCF,1
0.002040816326531,19421.0000,V,EMW_CPHDT780C,HCF,1
0.002040816326531,19151.0000,V,EMW_CPHDT780C,HCF,1
0.001927437641723,24601.0000,V,EMW_CPHDT780C,HCF,1
0.001927437641723,21265.0000,V,EMW_CPHDT780C,HCF,1
0.001814058956916,56341.0000,V,EMW_CPHDT780C,HCF,1
0.001814058956916,49314.0000,V,EMW_CPHDT780C,HCF,1
0.001700680272109,55081.0000,V,EMW_CPHDT780C,HCF,1
0.001700680272109,53351.0000,V,EMW_CPHDT780C,HCF,1
0.001587301587302,79352.0000,V,EMW_CPHDT780C,HCF,1
0.001587301587302,84464.0000,V,EMW_CPHDT780C,HCF,1
0.001473922902494,214145.0000,V,EMW_CPHDT780C,HCF,1
0.001473922902494,118891.0000,V,EMW_CPHDT780C,HCF,1
0.001360544217687,678347.0000,V,EMW_CPHDT780C,HCF,1
0.0050,759.0000,P,EMW_CPHDT780C,LCF,1
0.0069,549.0000,P,EMW_CPHDT780C,LCF,1
0.0100,268.0000,P,EMW_CPHDT780C,LCF,1
0.0120,237.0000,P,EMW_CPHDT780C,LCF,1
0.0150,136.0000,P,EMW_CPHDT780C,LCF,1
0.0170,115.0000,P,EMW_CPHDT780C,LCF,1
0.0100,12.0000,P,EMW_CPHDT780C,LCF,1
0.0070,428.0000,P,EMW_CPHDT780C,LCF,1
0.002154195011338,19618,P,EMW_CPHDT780C,HCF,1
0.002154195011338,22701,P,EMW_CPHDT780C,HCF,1
0.002040816326531,33627,P,EMW_CPHDT780C,HCF,1
0.002040816326531,27081,P,EMW_CPHDT780C,HCF,1
0.001927437641723,45602,P,EMW_CPHDT780C,HCF,1
0.001927437641723,54481,P,EMW_CPHDT780C,HCF,1
0.001814058956916,76843,P,EMW_CPHDT780C,HCF,1
0.001814058956916,54303,P,EMW_CPHDT780C,HCF,1
0.001700680272109,173390,P,EMW_CPHDT780C,HCF,1
0.001700680272109,94311,P,EMW_CPHDT780C,HCF,1
0.001587301587302,16313,P,EMW_CPHDT780C,HCF,1
0.001587301587302,384956,P,EMW_CPHDT780C,HCF,1
0.001473922902494,733434,P,EMW_CPHDT780C,HCF,1
0.001360544217687,1220245,P,EMW_CPHDT780C,HCF,1
0.005,1530,D,EMW_CPHDT780C,LCF,1
0.0069,446,D,EMW_CPHDT780C,LCF,1
0.01,209,D,EMW_CPHDT780C,LCF,1
0.012,223,D,EMW_CPHDT780C,LCF,1
0.015,3,D,EMW_CPHDT780C,LCF,1
0.01,1,D,EMW_CPHDT780C,LCF,1
0.007,785,D,EMW_CPHDT780C,LCF,1
0.002154195011338,13313,D,EMW_CPHDT780C,HCF,1
0.002154195011338,18246,D,EMW_CPHDT780C,HCF,1
0.002040816326531,29169,D,EMW_CPHDT780C,HCF,1
0.002040816326531,16198,D,EMW_CPHDT780C,HCF,1
0.001927437641723,44001,D,EMW_CPHDT780C,HCF,1
0.001927437641723,47216,D,EMW_CPHDT780C,HCF,1
0.001814058956916,42547,D,EMW_CPHDT780C,HCF,1
